# Data Dictionary

| Column | Type | Description |
|--------|------|------------|
| Order_ID | Integer | Unique order identifier |
| Customer_ID | String | Unique customer ID |
| Product | String | Product name |
| Category | String | Product category |
| Price | Float | Price per unit |
| Quantity | Integer | Number of items |
| Order_Date | Date | Date of purchase |
| City | String | Customer city |
| Payment_Method | String | Payment type |
| Revenue | Float | Price × Quantity |
